it global_time dt rho m1 m2 m3 e tracer_ism tracer_sn rhod1 rhod2 rhod3 rhod4 m1d1 m1d2 m1d3 m1d4 m2d1 m2d2 m2d3 m2d4 m3d1 m3d2 m3d3 m3d4 c1 c2 c3 c4 c5 c6 c7 c8 n1 n2 n3 n4 n5 n6 n7 n8 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
       0  0.00000000E+00  3.69927850E-06   1.44133712E-01  2.89921721E-02  0.00000000E+00  0.00000000E+00  3.86530996E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743802E-06  1.06204536E-05  0.00000000E+00  0.00000000E+00  1.09326761E-06  2.15120540E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   8.33333333E-01  8.33333333E-02  4.16666667E-02  2.08333333E-02  5.20833333E-03  2.60416667E-03  2.60416667E-03  1.04166667E-02       10       2       2       2       1       1       2      16 |   0.00E+00  0.00E+00  0.00E+00  3.60E+01  3.21E+13  8.92E+11
     640  1.00000000E-01  2.38478165E-04   1.44133712E-01  7.52072048E-01  0.00000000E+00  0.00000000E+00  3.86530991E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743802E-06  1.06204536E-05  8.27080262E-13  5.12049083E-12  1.09934652E-06  2.19748721E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   8.33333333E-01  8.33333333E-02  4.16666667E-02  1.04166667E-02  5.20833333E-03  5.20833333E-03  1.30208333E-03  1.95312500E-02       10       2       2       1       1       2       1      30 |   0.00E+00  0.00E+00  1.81E+05  4.90E+01  3.63E+01  1.01E+00
    1015  2.00000000E-01  2.83964489E-04   1.44133712E-01  1.36763745E+00  0.00000000E+00  0.00000000E+00  3.86530898E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743802E-06  1.06204536E-05  1.12696448E-11  4.47628922E-11  1.22213654E-06  3.12548410E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   8.33333333E-01  8.33333333E-02  2.08333333E-02  2.08333333E-02  5.20833333E-03  5.20833333E-03  2.60416667E-03  2.86458333E-02       10       2       1       2       1       2       2      44 |   0.00E+00  0.00E+00  1.78E+05  6.40E+01  4.05E+01  1.12E+00
    1361  3.00000000E-01  2.93942595E-04   1.44133712E-01  1.87130371E+00  0.00000000E+00  0.00000000E+00  3.86530408E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743802E-06  1.06204536E-05  3.87489014E-11  1.32385039E-10  1.83875615E-06  7.64692809E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   8.33333333E-01  8.33333333E-02  2.08333333E-02  1.04166667E-02  1.04166667E-02  2.60416667E-03  2.60416667E-03  3.64583333E-02       10       2       1       1       2       1       2      56 |   0.00E+00  0.00E+00  1.73E+05  7.50E+01  4.73E+01  1.31E+00
    1697  4.00000000E-01  3.01895962E-04   1.44133712E-01  2.26343826E+00  0.00000000E+00  0.00000000E+00  3.86529026E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743802E-06  1.06204536E-05  8.89282972E-11  2.86708506E-10  3.57614528E-06  1.94278241E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   8.33333333E-01  4.16666667E-02  4.16666667E-02  2.08333333E-02  1.04166667E-02  5.20833333E-03  2.60416667E-03  4.42708333E-02       10       1       2       2       2       2       2      68 |   0.00E+00  0.00E+00  1.77E+05  8.90E+01  5.34E+01  1.48E+00
    2025  5.00000000E-01  3.08986735E-04   1.44133712E-01  2.54895481E+00  0.00000000E+00  0.00000000E+00  3.86526470E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743802E-06  1.06204536E-05  1.69251658E-10  5.30468768E-10  6.95851181E-06  3.92370741E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   8.33333333E-01  4.16666667E-02  4.16666667E-02  2.08333333E-02  5.20833333E-03  5.20833333E-03  1.30208333E-03  5.07812500E-02       10       1       2       2       1       2       1      78 |   0.00E+00  0.00E+00  1.66E+05  9.70E+01  6.06E+01  1.67E+00
    2346  6.00000000E-01  3.15324331E-04   1.44133712E-01  2.73864137E+00  0.00000000E+00  0.00000000E+00  3.86523100E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743802E-06  1.06204536E-05  2.88014125E-10  8.88796191E-10  1.18581687E-05  6.25353171E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   8.33333333E-01  4.16666667E-02  4.16666667E-02  1.04166667E-02  1.04166667E-02  2.60416667E-03  2.60416667E-03  5.72916667E-02       10       1       2       1       2       1       2      88 |   0.00E+00  0.00E+00  1.65E+05  1.07E+02  6.60E+01  1.82E+00
    2661  7.00000000E-01  3.21270402E-04   1.44133712E-01  2.85768767E+00  0.00000000E+00  0.00000000E+00  3.86519702E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743802E-06  1.06204536E-05  4.54273685E-10  1.38905162E-09  1.73978111E-05  8.35261860E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   8.33333333E-01  4.16666667E-02  2.08333333E-02  2.08333333E-02  1.04166667E-02  5.20833333E-03  1.30208333E-02  5.46875000E-02       10       1       1       2       2       2      10      84 |   0.00E+00  0.00E+00  1.63E+05  1.12E+02  6.83E+01  1.88E+00
    2970  8.00000000E-01  3.26824053E-04   1.44133712E-01  2.93509334E+00  0.00000000E+00  0.00000000E+00  3.86516818E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743802E-06  1.06204536E-05  6.77712992E-10  2.06042828E-09  2.26421513E-05  9.98693763E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   8.33333333E-01  4.16666667E-02  2.08333333E-02  2.08333333E-02  5.20833333E-03  2.60416667E-03  1.82291667E-02  5.72916667E-02       10       1       1       2       1       1      14      88 |   0.00E+00  0.00E+00  1.61E+05  1.18E+02  7.18E+01  1.98E+00
    3274  9.00000000E-01  3.31993123E-04   1.44133712E-01  2.98793522E+00  0.00000000E+00  0.00000000E+00  3.86514595E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743802E-06  1.06204536E-05  9.68376286E-10  2.93319214E-09  2.70559050E-05  1.11753210E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   8.33333333E-01  4.16666667E-02  2.08333333E-02  1.04166667E-02  1.04166667E-02  2.60416667E-03  2.08333333E-02  5.98958333E-02       10       1       1       1       2       1      16      92 |   0.00E+00  0.00E+00  1.61E+05  1.24E+02  7.41E+01  2.04E+00
